,0
https://dplyr.tidyverse.org/reference/compute.html,collapse()
https://dplyr.tidyverse.org/reference/copy_to.html,copy_to()
https://dplyr.tidyverse.org/reference/ident.html,ident()
https://dplyr.tidyverse.org/reference/explain.html,explain()
https://dplyr.tidyverse.org/reference/explain.html,show_query()
https://dplyr.tidyverse.org/reference/tbl.html,tbl()
https://dplyr.tidyverse.org/reference/tbl.html,is.tbl()
https://dplyr.tidyverse.org/reference/sql.html,sql()
https://dplyr.tidyverse.org/reference/group_map.html,group_map()
https://dplyr.tidyverse.org/reference/group_map.html,group_modify()
https://dplyr.tidyverse.org/reference/group_map.html,group_walk()
https://dplyr.tidyverse.org/reference/group_trim.html,group_trim()
https://dplyr.tidyverse.org/reference/group_split.html,group_split()
https://dplyr.tidyverse.org/reference/with_groups.html,with_groups()
https://dplyr.tidyverse.org/reference/rows.html,rows_insert()
https://dplyr.tidyverse.org/reference/rows.html,rows_append()
https://dplyr.tidyverse.org/reference/rows.html,rows_update()
https://dplyr.tidyverse.org/reference/rows.html,rows_patch()
https://dplyr.tidyverse.org/reference/rows.html,rows_upsert()
https://dplyr.tidyverse.org/reference/rows.html,rows_delete()
https://dplyr.tidyverse.org/reference/all_equal.html,all_equal()
https://dplyr.tidyverse.org/reference/sample_n.html,sample_n()
https://dplyr.tidyverse.org/reference/sample_n.html,sample_frac()
https://dplyr.tidyverse.org/reference/top_n.html,top_n()
https://dplyr.tidyverse.org/reference/top_n.html,top_frac()
https://dplyr.tidyverse.org/reference/scoped.html,scoped
https://dplyr.tidyverse.org/reference/all_vars.html,all_vars()
https://dplyr.tidyverse.org/reference/all_vars.html,any_vars()
https://dplyr.tidyverse.org/reference/vars.html,vars()
